,0,Lead Amount ppb,Partial Postal Code,Sample Number,Sampled Date
1804,,0.389,M4L,1597052.0,2014-06-10
1780,,0.949,M4J,1597926.0,2014-06-10
1776,,0.566,M6R,1594494.0,2014-06-10
1784,,0.663,M6R,1594498.0,2014-06-10
1819,,0.0890,M4J,1597779.0,2014-06-10
1801,,0.0988,M4C,1597800.0,2014-06-10
1800,,2.14,M5N,1595327.0,2014-06-10
1808,,1.53,M5M,1597272.0,2014-06-10
1817,,1.35,M4M,1597799.0,2014-06-10
1791,,3.06,M6E,1598956.0,2014-06-10
1796,,<0.0500,M4J,1595286.0,2014-06-10
1828,,2.42,M6J,1594523.0,2014-06-10
1820,,0.0732,M1S,1594696.0,2014-06-10
1816,,<0.0500,M6G,1597007.0,2014-06-10
1831,,1.83,M4N,1599319.0,2014-06-10
1793,,0.285,M5P,1594132.0,2014-06-10
1781,,1.82,M4N,1593785.0,2014-06-10
1794,,0.163,M1R,1598916.0,2014-06-10
1823,,0.171,M8Z,1594643.0,2014-06-10
1827,,4.46,M4J,1600036.0,2014-06-10
1803,,<0.0500,M6P,1594623.0,2014-06-10
1795,,0.213,M4J,1597807.0,2014-06-10
1806,,0.0860,M2N,1598989.0,2014-06-10
1826,,1.90,M6R,1594499.0,2014-06-10
1825,,0.189,M6P,1594659.0,2014-06-10
